timestamp,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,torso_x,torso_y,pose_label
84,479.021,563.577,565.479,569.308,827.879,885.817,near_router
85,452.431,575.757,581.432,585.18,813.309,881.149,near_router
86,499.077,630.198,583.856,607.686,805.607,875.993,near_router
87,517.617,713.22,607.984,627.119,806.622,876.15,near_router
88,456.21,573.206,521.451,590.152,797.779,877.6,near_router
89,483.628,503.152,691.653,559.459,790.627,867.586,operate_router
90,467.62,514.172,583.322,520.312,791.92,861.49,operate_router
91,449.85,649.23,619.59,643.485,788.356,865.344,near_router
92,609.507,980.104,715.656,935.615,796.805,868.482,near_router
93,596.736,522.136,645.612,555.31,820.577,888.496,operate_router
94,607.983,474.564,632.954,503.36,825.938,903.345,operate_router
95,645.736,1030.19,699.269,874.334,826.121,904.783,near_router
96,583.016,563.697,712.375,711.776,827.283,903.007,operate_router
97,591.015,893.652,754.977,896.054,806.088,894.384,near_router
98,603.678,959.573,736.557,928.853,802.556,892.842,near_router
99,649.747,1009.01,782.823,1021.658,811.577,898.129,near_router
100,645.938,1043.929,781.268,998.616,815.177,903.577,near_router
101,637.763,1083.633,817.096,1063.968,816.136,913.578,near_router
102,612.033,1187.375,798.004,1111.541,820.573,914.766,near_router
103,341.776,1180.818,612.076,1041.724,759.159,923.483,near_router
104,156.656,1134.369,548.892,1000.74,741.421,935.01,near_router
105,134.105,1110.955,460.461,1076.791,745.365,931.56,near_router
106,344.952,1243.777,624.96,1252.598,769.358,960.626,near_router
107,127.957,1223.812,545.732,1133.824,653.756,959.514,near_router
108,303.275,830.599,538.955,809.198,818.378,904.335,near_router
109,391.638,874.605,540.718,830.116,867.99,902.992,near_router
110,410.689,903.322,556.012,788.676,852.181,900.017,near_router
111,410.354,922.152,542.246,824.09,831.379,897.391,near_router
112,415.723,928.034,548.336,818.466,821.514,890.419,near_router
113,416.401,932.598,519.05,835.566,809.065,892.524,near_router
114,415.527,934.526,494.564,848.158,800.695,894.256,near_router
115,439.107,930.754,531.077,741.077,805.749,890.817,near_router
116,435.969,934.56,509.857,808.702,801.245,900.172,near_router
117,433.953,934.856,547.833,555.528,803.642,907.777,operate_router
118,432.778,937.371,543.886,587.192,810.144,912.084,near_router
119,436.476,937.983,592.012,685.377,823.717,909.917,near_router
120,434.363,939.286,570.007,714.685,825.414,911.578,near_router
121,435.309,940.402,557.845,772.878,825.945,911.631,near_router
122,434.872,940.788,588.768,703.956,833.147,892.676,near_router
123,433.072,940.829,592.356,726.289,838.26,879.753,near_router
124,436.76,941.033,615.4,739.029,840.962,879.817,near_router
125,430.307,856.846,612.872,725.447,837.712,877.183,near_router
126,89.328,1076.456,387.51,1003.44,785.426,935.015,near_router
127,204.366,1054.574,453.97,1038.394,738.597,930.971,near_router
128,258.115,1066.032,573.163,1019.974,779.993,936.665,near_router
129,531.912,888.208,591.763,823.076,797.753,928.04,near_router
130,605.379,872.671,637.173,792.745,815.706,910.96,near_router
131,610.177,894.429,641.955,797.429,819.829,909.059,near_router
132,596.507,876.437,632.836,787.782,824.064,905.781,near_router
133,619.891,913.498,639.847,808.698,827.719,905.657,near_router
134,595.443,915.456,631.603,787.849,829.513,903.466,near_router
135,235.555,1152.417,390.204,1075.822,752.131,941.691,near_router
136,334.029,561.688,446.34,732.728,791.906,554.637,near_router
137,501.001,59.672,399.963,248.694,661.631,556.982,near_router
138,1048.178,739.041,810.731,431.031,688.398,1039.328,near_router
